team_name,car_engine,no_of_drivers,highest_laps,total_laps,points,raceid,year,round,name,date,total_matches_win,grid,positionorder,laps,milliseconds,pitstop,status,team_no_of_wins
Dallara,Dallara,2,81,5427,0,304,1992,16,Australian Grand Prix,08-11-1992,0,14,25,0,,0,Accident,0
Tyrrell,Tyrrell,2,81,39336,0,304,1992,16,Australian Grand Prix,08-11-1992,0,13,26,0,,0,Accident,23
McLaren,McLaren,2,81,97845,10,305,1991,1,United States Grand Prix,10-03-1991,41,1,1,81,7247828,0,Finished,185
Ferrari,Ferrari,3,81,126025,6,305,1991,1,United States Grand Prix,10-03-1991,51,2,2,81,7264150,0,Finished,249
Benetton,Benetton,3,81,26035,4,305,1991,1,United States Grand Prix,10-03-1991,23,5,3,81,7325204,0,Finished,27
Tyrrell,Tyrrell,2,81,39336,3,305,1991,1,United States Grand Prix,10-03-1991,0,11,4,81,7333237,0,Finished,23
Tyrrell,Tyrrell,2,81,39336,2,305,1991,1,United States Grand Prix,10-03-1991,0,16,5,80,,0,+1 Lap,23
Larrousse,Larrousse,3,81,8343,1,305,1991,1,United States Grand Prix,10-03-1991,0,21,6,79,,0,+2 Laps,0
Lambo,Lambo,2,81,262,0,305,1991,1,United States Grand Prix,10-03-1991,0,17,7,78,,0,+3 Laps,0
AGS,AGS,4,81,2031,0,305,1991,1,United States Grand Prix,10-03-1991,0,22,8,77,,0,+4 Laps,0
Minardi,Minardi,3,81,26819,0,305,1991,1,United States Grand Prix,10-03-1991,0,15,9,75,,0,Engine,0
Jordan,Jordan,5,81,21999,0,305,1991,1,United States Grand Prix,10-03-1991,0,14,10,75,,0,Engine,4
Brabham,Brabham,2,81,26800,0,305,1991,1,United States Grand Prix,10-03-1991,0,12,11,73,,0,+8 Laps,23
Ferrari,Ferrari,3,81,126025,0,305,1991,1,United States Grand Prix,10-03-1991,1,6,12,72,,0,Gearbox,249
Team Lotus,Team Lotus,4,81,36900,0,305,1991,1,United States Grand Prix,10-03-1991,20,13,13,59,,0,Engine,45
Williams,Williams,2,81,85881,0,305,1991,1,United States Grand Prix,10-03-1991,6,3,14,49,,0,Gearbox,114
Benetton,Benetton,3,81,26035,0,305,1991,1,United States Grand Prix,10-03-1991,0,8,15,49,,0,Collision,27
Footwork,Footwork,3,81,7160,0,305,1991,1,United States Grand Prix,10-03-1991,5,25,16,41,,0,Engine,0
Leyton House,Leyton House,3,81,2134,0,305,1991,1,United States Grand Prix,10-03-1991,0,18,17,40,,0,Gearbox,0
Ligier,Ligier,2,81,26234,0,305,1991,1,United States Grand Prix,10-03-1991,3,20,18,40,,0,Engine,9
McLaren,McLaren,2,81,97845,0,305,1991,1,United States Grand Prix,10-03-1991,10,7,19,36,,0,Fuel pump,185
Williams,Williams,2,81,85881,0,305,1991,1,United States Grand Prix,10-03-1991,31,4,20,35,,0,Gearbox,114
Leyton House,Leyton House,3,81,2134,0,305,1991,1,United States Grand Prix,10-03-1991,0,23,21,34,,0,Gearbox,0
Brabham,Brabham,2,81,26800,0,305,1991,1,United States Grand Prix,10-03-1991,0,24,22,32,,0,Spun off,23
Dallara,Dallara,2,81,5427,0,305,1991,1,United States Grand Prix,10-03-1991,0,9,23,16,,0,Gearbox,0
Minardi,Minardi,3,81,26819,0,305,1991,1,United States Grand Prix,10-03-1991,0,26,24,15,,0,Gearbox,0
Dallara,Dallara,2,81,5427,0,305,1991,1,United States Grand Prix,10-03-1991,0,10,25,12,,0,Gearbox,0
Larrousse,Larrousse,3,81,8343,0,305,1991,1,United States Grand Prix,10-03-1991,0,19,26,4,,0,Engine,0
Footwork,Footwork,3,81,7160,0,305,1991,1,United States Grand Prix,10-03-1991,0,0,27,0,,0,Did not qualify,0
AGS,AGS,4,81,2031,0,305,1991,1,United States Grand Prix,10-03-1991,0,0,28,0,,0,Did not qualify,0
Ligier,Ligier,2,81,26234,0,305,1991,1,United States Grand Prix,10-03-1991,0,0,29,0,,0,Did not qualify,9
Team Lotus,Team Lotus,4,81,36900,0,305,1991,1,United States Grand Prix,10-03-1991,0,0,30,0,,0,Did not qualify,45
Jordan,Jordan,5,81,21999,0,305,1991,1,United States Grand Prix,10-03-1991,0,0,31,0,,0,Did not prequalify,4
Coloni,Coloni,2,81,522,0,305,1991,1,United States Grand Prix,10-03-1991,0,0,32,0,,0,Did not prequalify,0
Fondmetal,Fondmetal,2,81,736,0,305,1991,1,United States Grand Prix,10-03-1991,0,0,33,0,,0,Did not prequalify,0
Lambo,Lambo,2,81,262,0,305,1991,1,United States Grand Prix,10-03-1991,0,0,34,0,,0,Did not prequalify,0
McLaren,McLaren,2,71,97845,10,306,1991,2,Brazilian Grand Prix,24-03-1991,41,1,1,71,5908128,0,Finished,185
Williams,Williams,2,71,85881,6,306,1991,2,Brazilian Grand Prix,24-03-1991,6,2,2,71,5911119,0,Finished,114
McLaren,McLaren,2,71,97845,4,306,1991,2,Brazilian Grand Prix,24-03-1991,10,4,3,71,5913544,0,Finished,185
Ferrari,Ferrari,3,71,126025,3,306,1991,2,Brazilian Grand Prix,24-03-1991,51,6,4,71,5926497,0,Finished,249
Benetton,Benetton,3,71,26035,2,306,1991,2,Brazilian Grand Prix,24-03-1991,23,7,5,71,5930088,0,Finished,27
Ferrari,Ferrari,3,71,126025,1,306,1991,2,Brazilian Grand Prix,24-03-1991,1,5,6,71,5931769,0,Finished,249
Benetton,Benetton,3,71,26035,0,306,1991,2,Brazilian Grand Prix,24-03-1991,0,14,7,70,,0,+1 Lap,27
Minardi,Minardi,3,71,26819,0,306,1991,2,Brazilian Grand Prix,24-03-1991,0,21,8,69,,0,+2 Laps,0
Team Lotus,Team Lotus,4,71,36900,0,306,1991,2,Brazilian Grand Prix,24-03-1991,20,22,9,68,,0,+3 Laps,45
Ligier,Ligier,2,71,26234,0,306,1991,2,Brazilian Grand Prix,24-03-1991,3,18,10,68,,0,+3 Laps,9
Dallara,Dallara,2,71,5427,0,306,1991,2,Brazilian Grand Prix,24-03-1991,0,12,11,68,,0,+3 Laps,0
Brabham,Brabham,2,71,26800,0,306,1991,2,Brazilian Grand Prix,24-03-1991,0,26,12,67,,0,+4 Laps,23
Jordan,Jordan,5,71,21999,0,306,1991,2,Brazilian Grand Prix,24-03-1991,0,10,13,63,,0,Fuel system,4
Williams,Williams,2,71,85881,0,306,1991,2,Brazilian Grand Prix,24-03-1991,31,3,14,59,,0,Gearbox,114
Ligier,Ligier,2,71,26234,0,306,1991,2,Brazilian Grand Prix,24-03-1991,0,23,15,50,,0,Engine,9
Minardi,Minardi,3,71,26819,0,306,1991,2,Brazilian Grand Prix,24-03-1991,0,20,16,47,,0,Spun off,0
Brabham,Brabham,2,71,26800,0,306,1991,2,Brazilian Grand Prix,24-03-1991,0,25,17,34,,0,Engine,23
Larrousse,Larrousse,3,71,8343,0,306,1991,2,Brazilian Grand Prix,24-03-1991,0,11,18,33,,0,Radiator,0
Dallara,Dallara,2,71,5427,0,306,1991,2,Brazilian Grand Prix,24-03-1991,0,19,19,22,,0,Electrical,0
Jordan,Jordan,5,71,21999,0,306,1991,2,Brazilian Grand Prix,24-03-1991,0,13,20,20,,0,Engine,4
Tyrrell,Tyrrell,2,71,39336,0,306,1991,2,Brazilian Grand Prix,24-03-1991,0,9,21,19,,0,Gearbox,23
Leyton House,Leyton House,3,71,2134,0,306,1991,2,Brazilian Grand Prix,24-03-1991,0,15,22,16,,0,Transmission,0
Tyrrell,Tyrrell,2,71,39336,0,306,1991,2,Brazilian Grand Prix,24-03-1991,0,16,23,12,,0,Spun off,23
Leyton House,Leyton House,3,71,2134,0,306,1991,2,Brazilian Grand Prix,24-03-1991,0,8,24,9,,0,Physical,0
AGS,AGS,4,71,2031,0,306,1991,2,Brazilian Grand Prix,24-03-1991,0,24,25,0,,0,Suspension,0
Larrousse,Larrousse,3,71,8343,0,306,1991,2,Brazilian Grand Prix,24-03-1991,0,17,26,0,,0,Fuel pump,0
Footwork,Footwork,3,71,7160,0,306,1991,2,Brazilian Grand Prix,24-03-1991,0,0,27,0,,0,Did not qualify,0
AGS,AGS,4,71,2031,0,306,1991,2,Brazilian Grand Prix,24-03-1991,0,0,28,0,,0,Did not qualify,0
Footwork,Footwork,3,71,7160,0,306,1991,2,Brazilian Grand Prix,24-03-1991,5,0,29,0,,0,Did not qualify,0
Team Lotus,Team Lotus,4,71,36900,0,306,1991,2,Brazilian Grand Prix,24-03-1991,0,0,30,0,,0,Did not qualify,45
Fondmetal,Fondmetal,2,71,736,0,306,1991,2,Brazilian Grand Prix,24-03-1991,0,0,31,0,,0,Did not prequalify,0
Lambo,Lambo,2,71,262,0,306,1991,2,Brazilian Grand Prix,24-03-1991,0,0,32,0,,0,Did not prequalify,0
Lambo,Lambo,2,71,262,0,306,1991,2,Brazilian Grand Prix,24-03-1991,0,0,33,0,,0,Did not prequalify,0
Coloni,Coloni,2,71,522,0,306,1991,2,Brazilian Grand Prix,24-03-1991,0,0,34,0,,0,Did not prequalify,0
McLaren,McLaren,2,61,97845,10,307,1991,3,San Marino Grand Prix,28-04-1991,41,1,1,61,5714750,0,Finished,185
McLaren,McLaren,2,61,97845,6,307,1991,3,San Marino Grand Prix,28-04-1991,10,5,2,61,5716425,0,Finished,185
Dallara,Dallara,2,61,5427,4,307,1991,3,San Marino Grand Prix,28-04-1991,0,16,3,60,,0,+1 Lap,0
Minardi,Minardi,3,61,26819,3,307,1991,3,San Marino Grand Prix,28-04-1991,0,9,4,59,,0,+2 Laps,0
Team Lotus,Team Lotus,4,61,36900,2,307,1991,3,San Marino Grand Prix,28-04-1991,20,25,5,58,,0,+3 Laps,45
Team Lotus,Team Lotus,4,61,36900,1,307,1991,3,San Marino Grand Prix,28-04-1991,0,26,6,58,,0,+3 Laps,45
Ligier,Ligier,2,61,26234,0,307,1991,3,San Marino Grand Prix,28-04-1991,3,24,7,58,,0,+3 Laps,9
Brabham,Brabham,2,61,26800,0,307,1991,3,San Marino Grand Prix,28-04-1991,0,23,8,58,,0,+3 Laps,23
Lambo,Lambo,2,61,262,0,307,1991,3,San Marino Grand Prix,28-04-1991,0,21,9,57,,0,Out of fuel,0
Ligier,Ligier,2,61,26234,0,307,1991,3,San Marino Grand Prix,28-04-1991,0,19,10,57,,0,+4 Laps,9
Brabham,Brabham,2,61,26800,0,307,1991,3,San Marino Grand Prix,28-04-1991,0,18,11,57,,0,+4 Laps,23
Leyton House,Leyton House,3,61,2134,0,307,1991,3,San Marino Grand Prix,28-04-1991,0,15,12,55,,0,Engine,0
Benetton,Benetton,3,61,26035,0,307,1991,3,San Marino Grand Prix,28-04-1991,0,13,13,54,,0,Engine,27
Tyrrell,Tyrrell,2,61,39336,0,307,1991,3,San Marino Grand Prix,28-04-1991,0,6,14,41,,0,Transmission,23
Jordan,Jordan,5,61,21999,0,307,1991,3,San Marino Grand Prix,28-04-1991,0,11,15,37,,0,Gearbox,4
Jordan,Jordan,5,61,21999,0,307,1991,3,San Marino Grand Prix,28-04-1991,0,13,16,37,,0,Suspension,4
Leyton House,Leyton House,3,61,2134,0,307,1991,3,San Marino Grand Prix,28-04-1991,0,22,17,24,,0,Spun off,0
Lola,Lola,2,61,5451,0,307,1991,3,San Marino Grand Prix,28-04-1991,0,17,18,17,,0,Engine,0
Williams,Williams,2,61,85881,0,307,1991,3,San Marino Grand Prix,28-04-1991,6,2,19,17,,0,Electrical,114
Tyrrell,Tyrrell,2,61,39336,0,307,1991,3,San Marino Grand Prix,28-04-1991,0,10,20,15,,0,Transmission,23
Minardi,Minardi,3,61,26819,0,307,1991,3,San Marino Grand Prix,28-04-1991,0,8,21,10,,0,Gearbox,0
Ferrari,Ferrari,3,61,126025,0,307,1991,3,San Marino Grand Prix,28-04-1991,1,7,22,2,,0,Spun off,249
Lola,Lola,2,61,5451,0,307,1991,3,San Marino Grand Prix,28-04-1991,0,20,23,2,,0,Spun off,0
Benetton,Benetton,3,61,26035,0,307,1991,3,San Marino Grand Prix,28-04-1991,23,14,24,1,,0,Spun off,27
Williams,Williams,2,61,85881,0,307,1991,3,San Marino Grand Prix,28-04-1991,31,4,25,0,,0,Collision,114
Ferrari,Ferrari,3,61,126025,0,307,1991,3,San Marino Grand Prix,28-04-1991,51,3,26,0,,0,Spun off,249
AGS,AGS,4,61,2031,0,307,1991,3,San Marino Grand Prix,28-04-1991,0,0,27,0,,0,Did not qualify,0
AGS,AGS,4,61,2031,0,307,1991,3,San Marino Grand Prix,28-04-1991,0,0,28,0,,0,Did not qualify,0
Footwork,Footwork,3,61,7160,0,307,1991,3,San Marino Grand Prix,28-04-1991,0,0,29,0,,0,Did not qualify,0
Footwork,Footwork,3,61,7160,0,307,1991,3,San Marino Grand Prix,28-04-1991,5,0,30,0,,0,Did not qualify,0
Dallara,Dallara,2,61,5427,0,307,1991,3,San Marino Grand Prix,28-04-1991,0,0,31,0,,0,Did not prequalify,0
Fondmetal,Fondmetal,2,61,736,0,307,1991,3,San Marino Grand Prix,28-04-1991,0,0,32,0,,0,Did not prequalify,0
Lambo,Lambo,2,61,262,0,307,1991,3,San Marino Grand Prix,28-04-1991,0,0,33,0,,0,Did not prequalify,0
Coloni,Coloni,2,61,522,0,307,1991,3,San Marino Grand Prix,28-04-1991,0,0,34,0,,0,Did not prequalify,0
McLaren,McLaren,2,78,97845,10,308,1991,4,Monaco Grand Prix,12-05-1991,41,1,1,78,6782334,0,Finished,185
Williams,Williams,2,78,85881,6,308,1991,4,Monaco Grand Prix,12-05-1991,31,5,2,78,6800682,0,Finished,114
Ferrari,Ferrari,3,78,126025,4,308,1991,4,Monaco Grand Prix,12-05-1991,1,9,3,78,6829789,0,Finished,249
Benetton,Benetton,3,78,26035,3,308,1991,4,Monaco Grand Prix,12-05-1991,0,8,4,77,,0,+1 Lap,27
Ferrari,Ferrari,3,78,126025,2,308,1991,4,Monaco Grand Prix,12-05-1991,51,7,5,77,,0,+1 Lap,249
Dallara,Dallara,2,78,5427,1,308,1991,4,Monaco Grand Prix,12-05-1991,0,12,6,77,,0,+1 Lap,0
Ligier,Ligier,2,78,26234,0,308,1991,4,Monaco Grand Prix,12-05-1991,3,16,7,76,,0,+2 Laps,9
Jordan,Jordan,5,78,21999,0,308,1991,4,Monaco Grand Prix,12-05-1991,0,23,8,76,,0,+2 Laps,4
Lola,Lola,2,78,5451,0,308,1991,4,Monaco Grand Prix,12-05-1991,0,13,9,76,,0,+2 Laps,0
Ligier,Ligier,2,78,26234,0,308,1991,4,Monaco Grand Prix,12-05-1991,0,26,10,76,,0,+2 Laps,9
Dallara,Dallara,2,78,5427,0,308,1991,4,Monaco Grand Prix,12-05-1991,0,21,11,75,,0,+3 Laps,0
Minardi,Minardi,3,78,26819,0,308,1991,4,Monaco Grand Prix,12-05-1991,0,14,12,72,,0,+6 Laps,0
Team Lotus,Team Lotus,4,78,36900,0,308,1991,4,Monaco Grand Prix,12-05-1991,20,25,13,64,,0,Oil leak,45
Minardi,Minardi,3,78,26819,0,308,1991,4,Monaco Grand Prix,12-05-1991,0,17,14,49,,0,Gearbox,0
Leyton House,Leyton House,3,78,2134,0,308,1991,4,Monaco Grand Prix,12-05-1991,0,15,15,43,,0,Throttle,0
Tyrrell,Tyrrell,2,78,39336,0,308,1991,4,Monaco Grand Prix,12-05-1991,0,2,16,42,,0,Engine,23
Williams,Williams,2,78,85881,0,308,1991,4,Monaco Grand Prix,12-05-1991,6,3,17,42,,0,Spun off,114
Brabham,Brabham,2,78,26800,0,308,1991,4,Monaco Grand Prix,12-05-1991,0,19,18,41,,0,Spun off,23
Footwork,Footwork,3,78,7160,0,308,1991,4,Monaco Grand Prix,12-05-1991,5,22,19,39,,0,Engine,0
Tyrrell,Tyrrell,2,78,39336,0,308,1991,4,Monaco Grand Prix,12-05-1991,0,11,20,35,,0,Spun off,23
Lola,Lola,2,78,5451,0,308,1991,4,Monaco Grand Prix,12-05-1991,0,20,21,24,,0,Engine,0
Jordan,Jordan,5,78,21999,0,308,1991,4,Monaco Grand Prix,12-05-1991,0,10,22,21,,0,Throttle,4
Leyton House,Leyton House,3,78,2134,0,308,1991,4,Monaco Grand Prix,12-05-1991,0,18,23,12,,0,Brakes,0
AGS,AGS,4,78,2031,0,308,1991,4,Monaco Grand Prix,12-05-1991,0,24,24,9,,0,Gearbox,0
McLaren,McLaren,2,78,97845,0,308,1991,4,Monaco Grand Prix,12-05-1991,10,6,25,9,,0,Spun off,185
Benetton,Benetton,3,78,26035,0,308,1991,4,Monaco Grand Prix,12-05-1991,23,4,26,0,,0,Suspension,27
Team Lotus,Team Lotus,4,78,36900,0,308,1991,4,Monaco Grand Prix,12-05-1991,0,0,27,0,,0,Did not qualify,45
AGS,AGS,4,78,2031,0,308,1991,4,Monaco Grand Prix,12-05-1991,0,0,28,0,,0,Did not qualify,0
Footwork,Footwork,3,78,7160,0,308,1991,4,Monaco Grand Prix,12-05-1991,0,0,29,0,,0,Did not qualify,0
Brabham,Brabham,2,78,26800,0,308,1991,4,Monaco Grand Prix,12-05-1991,0,0,30,0,,0,Did not qualify,23
Lambo,Lambo,2,78,262,0,308,1991,4,Monaco Grand Prix,12-05-1991,0,0,31,0,,0,Did not prequalify,0
Lambo,Lambo,2,78,262,0,308,1991,4,Monaco Grand Prix,12-05-1991,0,0,32,0,,0,Did not prequalify,0
Coloni,Coloni,2,78,522,0,308,1991,4,Monaco Grand Prix,12-05-1991,0,0,33,0,,0,Did not prequalify,0
Fondmetal,Fondmetal,2,78,736,0,308,1991,4,Monaco Grand Prix,12-05-1991,0,0,34,0,,0,Did not prequalify,0
Benetton,Benetton,3,69,26035,10,309,1991,5,Canadian Grand Prix,02-06-1991,23,8,1,69,5931490,0,Finished,27
Tyrrell,Tyrrell,2,69,39336,6,309,1991,5,Canadian Grand Prix,02-06-1991,0,9,2,69,5963322,0,Finished,23
Williams,Williams,2,69,85881,4,309,1991,5,Canadian Grand Prix,02-06-1991,6,1,3,69,5973707,0,Finished,114
Jordan,Jordan,5,69,21999,3,309,1991,5,Canadian Grand Prix,02-06-1991,0,11,4,69,6011700,0,Finished,4
Jordan,Jordan,5,69,21999,2,309,1991,5,Canadian Grand Prix,02-06-1991,0,14,5,69,6013841,0,Finished,4
Williams,Williams,2,69,85881,1,309,1991,5,Canadian Grand Prix,02-06-1991,31,2,6,68,,0,Electrical,114
Minardi,Minardi,3,69,26819,0,309,1991,5,Canadian Grand Prix,02-06-1991,0,18,7,68,,0,+1 Lap,0
Ligier,Ligier,2,69,26234,0,309,1991,5,Canadian Grand Prix,02-06-1991,0,26,8,68,,0,+1 Lap,9
Dallara,Dallara,2,69,5427,0,309,1991,5,Canadian Grand Prix,02-06-1991,0,10,9,68,,0,+1 Lap,0
Tyrrell,Tyrrell,2,69,39336,0,309,1991,5,Canadian Grand Prix,02-06-1991,0,12,10,67,,0,+2 Laps,23
Leyton House,Leyton House,3,69,2134,0,309,1991,5,Canadian Grand Prix,02-06-1991,0,23,11,61,,0,Engine,0
Dallara,Dallara,2,69,5427,0,309,1991,5,Canadian Grand Prix,02-06-1991,0,17,12,50,,0,Engine,0
Footwork,Footwork,3,69,7160,0,309,1991,5,Canadian Grand Prix,02-06-1991,0,25,13,48,,0,Throttle,0
Leyton House,Leyton House,3,69,2134,0,309,1991,5,Canadian Grand Prix,02-06-1991,0,13,14,42,,0,Engine,0
Ferrari,Ferrari,3,69,126025,0,309,1991,5,Canadian Grand Prix,02-06-1991,1,7,15,34,,0,Engine,249
Lola,Lola,2,69,5451,0,309,1991,5,Canadian Grand Prix,02-06-1991,0,19,16,29,,0,Gearbox,0
Ferrari,Ferrari,3,69,126025,0,309,1991,5,Canadian Grand Prix,02-06-1991,51,4,17,27,,0,Gearbox,249
Ligier,Ligier,2,69,26234,0,309,1991,5,Canadian Grand Prix,02-06-1991,3,16,18,27,,0,Engine,9
McLaren,McLaren,2,69,97845,0,309,1991,5,Canadian Grand Prix,02-06-1991,41,3,19,25,,0,Alternator,185
Team Lotus,Team Lotus,4,69,36900,0,309,1991,5,Canadian Grand Prix,02-06-1991,20,24,20,21,,0,Spun off,45
Brabham,Brabham,2,69,26800,0,309,1991,5,Canadian Grand Prix,02-06-1991,0,20,21,21,,0,Engine,23
Minardi,Minardi,3,69,26819,0,309,1991,5,Canadian Grand Prix,02-06-1991,0,15,22,20,,0,Spun off,0
Benetton,Benetton,3,69,26035,0,309,1991,5,Canadian Grand Prix,02-06-1991,0,5,23,10,,0,Suspension,27
McLaren,McLaren,2,69,97845,0,309,1991,5,Canadian Grand Prix,02-06-1991,10,6,24,4,,0,Injection,185
Lola,Lola,2,69,5451,0,309,1991,5,Canadian Grand Prix,02-06-1991,0,22,25,3,,0,Fuel leak,0
Footwork,Footwork,3,69,7160,0,309,1991,5,Canadian Grand Prix,02-06-1991,5,21,26,2,,0,Throttle,0
AGS,AGS,4,69,2031,0,309,1991,5,Canadian Grand Prix,02-06-1991,0,0,27,0,,0,Did not qualify,0
AGS,AGS,4,69,2031,0,309,1991,5,Canadian Grand Prix,02-06-1991,0,0,28,0,,0,Did not qualify,0
Brabham,Brabham,2,69,26800,0,309,1991,5,Canadian Grand Prix,02-06-1991,0,0,29,0,,0,Did not qualify,23
Team Lotus,Team Lotus,4,69,36900,0,309,1991,5,Canadian Grand Prix,02-06-1991,3,0,30,0,,0,Did not qualify,45
Fondmetal,Fondmetal,2,69,736,0,309,1991,5,Canadian Grand Prix,02-06-1991,0,0,31,0,,0,Did not prequalify,0
Lambo,Lambo,2,69,262,0,309,1991,5,Canadian Grand Prix,02-06-1991,0,0,32,0,,0,Did not prequalify,0
Lambo,Lambo,2,69,262,0,309,1991,5,Canadian Grand Prix,02-06-1991,0,0,33,0,,0,Did not prequalify,0
Coloni,Coloni,2,69,522,0,309,1991,5,Canadian Grand Prix,02-06-1991,0,0,34,0,,0,Did not prequalify,0
Williams,Williams,2,67,85881,10,310,1991,6,Mexican Grand Prix,16-06-1991,6,1,1,67,5392205,0,Finished,114
Williams,Williams,2,67,85881,6,310,1991,6,Mexican Grand Prix,16-06-1991,31,2,2,67,5393541,0,Finished,114
McLaren,McLaren,2,67,97845,4,310,1991,6,Mexican Grand Prix,16-06-1991,41,3,3,67,5449561,0,Finished,185
Jordan,Jordan,5,67,21999,3,310,1991,6,Mexican Grand Prix,16-06-1991,0,11,4,66,,0,+1 Lap,4
Benetton,Benetton,3,67,26035,2,310,1991,6,Mexican Grand Prix,16-06-1991,0,9,5,66,,0,+1 Lap,27
Lola,Lola,2,67,5451,1,310,1991,6,Mexican Grand Prix,16-06-1991,0,23,6,66,,0,+1 Lap,0
Minardi,Minardi,3,67,26819,0,310,1991,6,Mexican Grand Prix,16-06-1991,0,14,7,66,,0,+1 Lap,0
Ligier,Ligier,2,67,26234,0,310,1991,6,Mexican Grand Prix,16-06-1991,3,10,8,65,,0,+2 Laps,9
Team Lotus,Team Lotus,4,67,36900,0,310,1991,6,Mexican Grand Prix,16-06-1991,20,24,9,65,,0,+2 Laps,45
Team Lotus,Team Lotus,4,67,36900,0,310,1991,6,Mexican Grand Prix,16-06-1991,3,25,10,65,,0,+2 Laps,45
Tyrrell,Tyrrell,2,67,39336,0,310,1991,6,Mexican Grand Prix,16-06-1991,0,8,11,65,,0,+2 Laps,23
Tyrrell,Tyrrell,2,67,39336,0,310,1991,6,Mexican Grand Prix,16-06-1991,0,13,12,64,,0,+3 Laps,23
Brabham,Brabham,2,67,26800,0,310,1991,6,Mexican Grand Prix,16-06-1991,0,12,13,54,,0,Engine,23
Jordan,Jordan,5,67,21999,0,310,1991,6,Mexican Grand Prix,16-06-1991,0,20,14,51,,0,Spun off,4
Lola,Lola,2,67,5451,0,310,1991,6,Mexican Grand Prix,16-06-1991,0,19,15,48,,0,Gearbox,0
Benetton,Benetton,3,67,26035,0,310,1991,6,Mexican Grand Prix,16-06-1991,23,6,16,44,,0,Wheel bearing,27
Ferrari,Ferrari,3,67,126025,0,310,1991,6,Mexican Grand Prix,16-06-1991,1,4,17,42,,0,Clutch,249
Dallara,Dallara,2,67,5427,0,310,1991,6,Mexican Grand Prix,16-06-1991,0,16,18,30,,0,Engine,0
Footwork,Footwork,3,67,7160,0,310,1991,6,Mexican Grand Prix,16-06-1991,5,26,19,24,,0,Engine,0
Brabham,Brabham,2,67,26800,0,310,1991,6,Mexican Grand Prix,16-06-1991,0,17,20,20,,0,Wheel,23
Leyton House,Leyton House,3,67,2134,0,310,1991,6,Mexican Grand Prix,16-06-1991,0,22,21,19,,0,Engine,0
Ferrari,Ferrari,3,67,126025,0,310,1991,6,Mexican Grand Prix,16-06-1991,51,7,22,16,,0,Alternator,249
Leyton House,Leyton House,3,67,2134,0,310,1991,6,Mexican Grand Prix,16-06-1991,0,18,23,15,,0,Engine,0
Fondmetal,Fondmetal,2,67,736,0,310,1991,6,Mexican Grand Prix,16-06-1991,0,21,24,13,,0,Engine,0
McLaren,McLaren,2,67,97845,0,310,1991,6,Mexican Grand Prix,16-06-1991,10,5,25,5,,0,Engine,185
Minardi,Minardi,3,67,26819,0,310,1991,6,Mexican Grand Prix,16-06-1991,0,15,26,4,,0,Spun off,0
Ligier,Ligier,2,67,26234,0,310,1991,6,Mexican Grand Prix,16-06-1991,0,0,27,0,,0,Did not qualify,9
AGS,AGS,4,67,2031,0,310,1991,6,Mexican Grand Prix,16-06-1991,0,0,28,0,,0,Did not qualify,0
Footwork,Footwork,3,67,7160,0,310,1991,6,Mexican Grand Prix,16-06-1991,0,0,29,0,,0,Did not qualify,0
AGS,AGS,4,67,2031,0,310,1991,6,Mexican Grand Prix,16-06-1991,0,0,30,0,,0,Did not qualify,0
Lambo,Lambo,2,67,262,0,310,1991,6,Mexican Grand Prix,16-06-1991,0,0,31,0,,0,Did not prequalify,0
Lambo,Lambo,2,67,262,0,310,1991,6,Mexican Grand Prix,16-06-1991,0,0,32,0,,0,Did not prequalify,0
Coloni,Coloni,2,67,522,0,310,1991,6,Mexican Grand Prix,16-06-1991,0,0,33,0,,0,Did not prequalify,0
Dallara,Dallara,2,67,5427,0,310,1991,6,Mexican Grand Prix,16-06-1991,0,0,34,0,,0,Did not prequalify,0
Williams,Williams,2,72,85881,10,311,1991,7,French Grand Prix,07-07-1991,31,4,1,72,5880056,0,Finished,114
Ferrari,Ferrari,3,72,126025,6,311,1991,7,French Grand Prix,07-07-1991,51,2,2,72,5885059,0,Finished,249
McLaren,McLaren,2,72,97845,4,311,1991,7,French Grand Prix,07-07-1991,41,3,3,72,5914990,0,Finished,185
Ferrari,Ferrari,3,72,126025,3,311,1991,7,French Grand Prix,07-07-1991,1,6,4,72,5915976,0,Finished,249
Williams,Williams,2,72,85881,2,311,1991,7,French Grand Prix,07-07-1991,6,1,5,71,,0,+1 Lap,114
Jordan,Jordan,5,72,21999,1,311,1991,7,French Grand Prix,07-07-1991,0,13,6,71,,0,+1 Lap,4
Leyton House,Leyton House,3,72,2134,0,311,1991,7,French Grand Prix,07-07-1991,0,9,7,70,,0,+2 Laps,0
Benetton,Benetton,3,72,26035,0,311,1991,7,French Grand Prix,07-07-1991,23,7,8,70,,0,+2 Laps,27
Minardi,Minardi,3,72,26819,0,311,1991,7,French Grand Prix,07-07-1991,0,12,9,70,,0,+2 Laps,0
Team Lotus,Team Lotus,4,72,36900,0,311,1991,7,French Grand Prix,07-07-1991,3,20,10,70,,0,+2 Laps,45
Ligier,Ligier,2,72,26234,0,311,1991,7,French Grand Prix,07-07-1991,0,14,11,70,,0,+2 Laps,9
Ligier,Ligier,2,72,26234,0,311,1991,7,French Grand Prix,07-07-1991,3,16,12,69,,0,+3 Laps,9
Benetton,Benetton,3,72,26035,0,311,1991,7,French Grand Prix,07-07-1991,0,8,13,63,,0,Physical,27
